event,request,time
event,request,time
m3u8,output/more/large/stream.m3u8,784.494
ts,output/more/large/stream0.ts,784.69
ts,output/more/large/stream1.ts,785.64
ts,output/more/large/stream2.ts,786.791
ts,output/more/large/stream3.ts,787.874
ts,output/more/large/stream4.ts,788.616
ts,output/more/large/stream5.ts,789.196
ts,output/more/large/stream6.ts,790.235
ts,output/more/large/stream7.ts,792.731
ts,output/more/large/stream8.ts,796.531
ts,output/more/large/stream9.ts,802.04
ts,output/more/large/stream25.ts,803.448
ts,output/more/large/stream58.ts,803.678
ts,output/more/large/stream60.ts,803.686
ts,output/more/large/stream61.ts,805.281
ts,output/more/large/stream62.ts,806.556
ts,output/more/large/stream63.ts,806.854
ts,output/more/large/stream64.ts,807.486
ts,output/more/large/stream65.ts,808.031
ts,output/more/large/stream66.ts,808.295
ts,output/more/large/stream67.ts,808.835
ts,output/more/large/stream68.ts,814.753
ts,output/more/large/stream136.ts,819.368
ts,output/more/large/stream137.ts,825.802
ts,output/more/large/stream138.ts,827.075
ts,output/more/large/stream139.ts,829.636
ts,output/more/large/stream140.ts,834.409
ts,output/more/large/stream141.ts,835.277
ts,output/more/large/stream142.ts,839.877
ts,output/more/large/stream143.ts,846.499
ts,output/more/large/stream176.ts,857.759
ts,output/more/large/stream177.ts,862.374
ts,output/more/large/stream178.ts,866.651
ts,output/more/large/stream221.ts,872.369
ts,output/more/large/stream222.ts,874.969
ts,output/more/large/stream223.ts,876.214
ts,output/more/large/stream224.ts,876.669
ts,output/more/large/stream225.ts,877.314
ts,output/more/large/stream226.ts,877.663
ts,output/more/large/stream227.ts,878.228
ts,output/more/large/stream228.ts,879.227
ts,output/more/large/stream229.ts,883.629
home,.,884.042
m3u8,output/more/large/stream.m3u8,885.813
ts,output/more/large/stream0.ts,886.009
ts,output/more/large/stream1.ts,887.179
ts,output/more/large/stream2.ts,888.247
ts,output/more/large/stream3.ts,889.014
ts,output/more/large/stream4.ts,889.722
ts,output/more/large/stream5.ts,890.166
ts,output/more/large/stream6.ts,891.854
ts,output/more/large/stream29.ts,893.989
ts,output/more/large/stream66.ts,894.192
ts,output/more/large/stream67.ts,895.511
ts,output/more/large/stream68.ts,896.421
ts,output/more/large/stream69.ts,897.275
ts,output/more/large/stream70.ts,897.947
ts,output/more/large/stream71.ts,898.404
ts,output/more/large/stream72.ts,898.981
ts,output/more/large/stream73.ts,901.055
ts,output/more/large/stream74.ts,905.065
ts,output/more/large/stream183.ts,905.226
ts,output/more/large/stream186.ts,905.24
ts,output/more/large/stream188.ts,905.283
ts,output/more/large/stream189.ts,905.324
ts,output/more/large/stream190.ts,905.325
ts,output/more/large/stream191.ts,905.372
ts,output/more/large/stream201.ts,905.521
ts,output/more/large/stream202.ts,905.619
ts,output/more/large/stream203.ts,905.622
ts,output/more/large/stream204.ts,905.64
ts,output/more/large/stream205.ts,905.689
ts,output/more/large/stream210.ts,905.825
ts,output/more/large/stream211.ts,905.843
ts,output/more/large/stream212.ts,905.894
ts,output/more/large/stream214.ts,906.023
ts,output/more/large/stream217.ts,906.029
ts,output/more/large/stream218.ts,907.705
ts,output/more/large/stream219.ts,908.025
ts,output/more/large/stream220.ts,908.76
ts,output/more/large/stream221.ts,909.337
ts,output/more/large/stream222.ts,910.443
ts,output/more/large/stream223.ts,911.544
ts,output/more/large/stream224.ts,914.956
home,.,956.454
m3u8,output/more/fake/stream.m3u8,959.012
m3u8,output/more/fake/stream.m3u8,959.207
ts,output/more/fake/stream0.ts,959.346
ts,output/more/fake/stream1.ts,961.934
m3u8,output/more/fake/stream.m3u8,962.511
ts,output/more/fake/stream2.ts,962.708
m3u8,output/more/fake/stream.m3u8,964.982
m3u8,output/more/fake/stream.m3u8,967.868
m3u8,output/more/fake/stream.m3u8,968.064
m3u8,output/more/fake/stream.m3u8,970.811
m3u8,output/more/fake/stream.m3u8,971.026
m3u8,output/more/fake/stream.m3u8,973.726
ts,output/more/fake/stream3.ts,973.946
m3u8,output/more/fake/stream.m3u8,973.99
m3u8,output/more/fake/stream.m3u8,977.503
m3u8,output/more/fake/stream.m3u8,980.431
m3u8,output/more/fake/stream.m3u8,980.996
ts,output/more/fake/stream4.ts,981.198
m3u8,output/more/fake/stream.m3u8,983.876
m3u8,output/more/fake/stream.m3u8,987.807
m3u8,output/more/fake/stream.m3u8,988.42
m3u8,output/more/fake/stream.m3u8,991.699
ts,output/more/fake/stream5.ts,991.94
m3u8,output/more/fake/stream.m3u8,992.498
ts,output/more/fake/stream6.ts,994.548
m3u8,output/more/fake/stream.m3u8,998.926
m3u8,output/more/fake/stream.m3u8,999.968
m3u8,output/more/fake/stream.m3u8,1002.797
ts,output/more/fake/stream7.ts,1003.011
m3u8,output/more/fake/stream.m3u8,1003.853
m3u8,output/more/fake/stream.m3u8,1008.8
m3u8,output/more/fake/stream.m3u8,1011.338
ts,output/more/fake/stream8.ts,1011.561
m3u8,output/more/fake/stream.m3u8,1013.237
m3u8,output/more/fake/stream.m3u8,1017.777
ts,output/more/fake/stream9.ts,1018.003
m3u8,output/more/fake/stream.m3u8,1019.899
m3u8,output/more/fake/stream.m3u8,1024.294
m3u8,output/more/fake/stream.m3u8,1026.299
ts,output/more/fake/stream10.ts,1026.503
m3u8,output/more/fake/stream.m3u8,1028.769
ts,output/more/fake/stream11.ts,1028.969
ts,output/more/fake/stream12.ts,1029.23
m3u8,output/more/fake/stream.m3u8,1034.842
ts,output/more/fake/stream13.ts,1035.062
m3u8,output/more/fake/stream.m3u8,1035.364
ts,output/more/fake/stream14.ts,1035.734
ts,output/more/fake/stream15.ts,1036.02
m3u8,output/more/fake/stream.m3u8,1036.571
m3u8,output/more/fake/stream.m3u8,1037.629
m3u8,output/more/fake/stream.m3u8,1038.74
m3u8,output/more/fake/stream.m3u8,1039.815
m3u8,output/more/fake/stream.m3u8,1040.857
m3u8,output/more/fake/stream.m3u8,1041.912
m3u8,output/more/fake/stream.m3u8,1042.967
ts,output/more/fake/stream16.ts,1043.171
m3u8,output/more/fake/stream.m3u8,1046.506
ts,output/more/fake/stream17.ts,1046.741
m3u8,output/more/fake/stream.m3u8,1050.296
ts,output/more/fake/stream18.ts,1050.495
home,.,1051.167
m3u8,output/more/fake/stream.m3u8,1052.828
m3u8,output/more/fake/stream.m3u8,1053.02
ts,output/more/fake/stream14.ts,1053.132
ts,output/more/fake/stream15.ts,1053.811
ts,output/more/fake/stream16.ts,1054.478
m3u8,output/more/fake/stream.m3u8,1055.354
ts,output/more/fake/stream17.ts,1055.902
ts,output/more/fake/stream18.ts,1056.302
m3u8,output/more/fake/stream.m3u8,1057.048
m3u8,output/more/fake/stream.m3u8,1057.724
ts,output/more/fake/stream19.ts,1057.927
m3u8,output/more/fake/stream.m3u8,1059.348
m3u8,output/more/fake/stream.m3u8,1062.431
m3u8,output/more/fake/stream.m3u8,1063.55
m3u8,output/more/fake/stream.m3u8,1065.629
ts,output/more/fake/stream20.ts,1065.862
m3u8,output/more/fake/stream.m3u8,1066.66
m3u8,output/more/fake/stream.m3u8,1070.647
m3u8,output/more/fake/stream.m3u8,1072.937
ts,output/more/fake/stream21.ts,1073.13
m3u8,output/more/fake/stream.m3u8,1074.536
m3u8,output/more/fake/stream.m3u8,1078.374
m3u8,output/more/fake/stream.m3u8,1080.359
m3u8,output/more/fake/stream.m3u8,1082.26
ts,output/more/fake/stream22.ts,1082.454
m3u8,output/more/fake/stream.m3u8,1084.266
m3u8,output/more/fake/stream.m3u8,1088.889
m3u8,output/more/fake/stream.m3u8,1091.056
ts,output/more/fake/stream23.ts,1091.247
m3u8,output/more/fake/stream.m3u8,1093.412
m3u8,output/more/fake/stream.m3u8,1098.541
ts,output/more/fake/stream24.ts,1099.176
m3u8,output/more/fake/stream.m3u8,1101.058
home,.,1180.61
m3u8,output/more/live/stream.m3u8,1182.088
m3u8,output/more/live/stream.m3u8,1182.284
ts,output/more/live/stream0.ts,1182.398
m3u8,output/more/live/stream.m3u8,1186.722
ts,output/more/live/stream1.ts,1186.944
m3u8,output/more/live/stream.m3u8,1190.439
m3u8,output/more/live/stream.m3u8,1195.064
ts,output/more/live/stream2.ts,1195.262
m3u8,output/more/live/stream.m3u8,1203.353
ts,output/more/live/stream3.ts,1203.555
m3u8,output/more/live/stream.m3u8,1211.694
ts,output/more/live/stream4.ts,1211.942
m3u8,output/more/live/stream.m3u8,1220.04
ts,output/more/live/stream5.ts,1220.278
m3u8,output/more/live/stream.m3u8,1228.379
ts,output/more/live/stream6.ts,1228.612
m3u8,output/more/live/stream.m3u8,1236.741
ts,output/more/live/stream8.ts,1236.948
ts,output/more/live/stream7.ts,1237.418
home,.,1297.092
m3u8,output/stream.m3u8,1299.513
ts,output/stream0.ts,1299.709
ts,output/stream1.ts,1300.459
ts,output/stream2.ts,1301.074
ts,output/stream3.ts,1301.634
home,.,1311.361
m3u8,output/stream.m3u8,1312.722
ts,output/stream0.ts,1312.926
ts,output/stream1.ts,1313.568
ts,output/stream2.ts,1314.082
ts,output/stream3.ts,1314.396
home,.,1323.586
m3u8,output/more/small/stream.m3u8,1325.01
ts,output/more/small/stream0.ts,1325.198
ts,output/more/small/stream1.ts,1326.87
ts,output/more/small/stream2.ts,1327.859
ts,output/more/small/stream3.ts,1328.722
ts,output/more/small/stream4.ts,1331.136
ts,output/more/small/stream5.ts,1339.44
ts,output/more/small/stream6.ts,1347.776
ts,output/more/small/stream7.ts,1356.153
ts,output/more/small/stream8.ts,1364.539
ts,output/more/small/stream9.ts,1372.936
ts,output/more/small/stream10.ts,1381.14
ts,output/more/small/stream11.ts,1389.436
ts,output/more/small/stream12.ts,1397.736
ts,output/more/small/stream13.ts,1406.158
ts,output/more/small/stream14.ts,1408.538
ts,output/more/small/stream15.ts,1414.92
home,.,1448.807
m3u8,output/more/small/stream.m3u8,1452.474
ts,output/more/small/stream0.ts,1452.656
ts,output/more/small/stream1.ts,1454.309
ts,output/more/small/stream2.ts,1457.174
ts,output/more/small/stream3.ts,1458.404
ts,output/more/small/stream4.ts,1459.504
ts,output/more/small/stream5.ts,1466.529
ts,output/more/small/stream6.ts,1474.732
ts,output/more/small/stream7.ts,1483.033
ts,output/more/small/stream8.ts,1491.343
ts,output/more/small/stream9.ts,1499.914
ts,output/more/small/stream10.ts,1514.034
ts,output/more/small/stream11.ts,1517.004
ts,output/more/small/stream12.ts,1524.732
ts,output/more/small/stream13.ts,1533.035
ts,output/more/small/stream14.ts,1535.649
ts,output/more/small/stream15.ts,1547.015
home,.,1574.563
m3u8,output/more/small/stream.m3u8,1575.919
ts,output/more/small/stream0.ts,1576.116
ts,output/more/small/stream1.ts,1577.899
ts,output/more/small/stream2.ts,1579.422
ts,output/more/small/stream3.ts,1580.215
ts,output/more/small/stream4.ts,1581.944
ts,output/more/small/stream5.ts,1590.421
ts,output/more/small/stream6.ts,1598.545
ts,output/more/small/stream7.ts,1606.947
ts,output/more/small/stream8.ts,1615.317
ts,output/more/small/stream9.ts,1623.555
ts,output/more/small/stream10.ts,1632.124
ts,output/more/small/stream11.ts,1640.244
ts,output/more/small/stream12.ts,1648.546
ts,output/more/small/stream13.ts,1656.947
ts,output/more/small/stream14.ts,1659.344
ts,output/more/small/stream15.ts,1665.563
home,.,1700.769
m3u8,output/more/large/stream.m3u8,1702.111
ts,output/more/large/stream0.ts,1702.301
ts,output/more/large/stream1.ts,1703.044
ts,output/more/large/stream2.ts,1703.494
ts,output/more/large/stream3.ts,1703.9
ts,output/more/large/stream4.ts,1704.412
ts,output/more/large/stream5.ts,1705.128
ts,output/more/large/stream6.ts,1707.762
ts,output/more/large/stream7.ts,1710.242
ts,output/more/large/stream8.ts,1714.091
ts,output/more/large/stream9.ts,1715.699
ts,output/more/large/stream10.ts,1715.767
ts,output/more/large/stream61.ts,1715.925
ts,output/more/large/stream63.ts,1715.931
ts,output/more/large/stream64.ts,1715.961
ts,output/more/large/stream66.ts,1715.983
ts,output/more/large/stream67.ts,1717.137
ts,output/more/large/stream68.ts,1718.141
ts,output/more/large/stream69.ts,1718.816
ts,output/more/large/stream70.ts,1719.49
ts,output/more/large/stream71.ts,1719.93
ts,output/more/large/stream72.ts,1720.679
ts,output/more/large/stream73.ts,1721.14
ts,output/more/large/stream74.ts,1723.35
ts,output/more/large/stream75.ts,1728.583
ts,output/more/large/stream76.ts,1735.537
ts,output/more/large/stream120.ts,1735.699
ts,output/more/large/stream122.ts,1735.7
ts,output/more/large/stream124.ts,1735.702
ts,output/more/large/stream127.ts,1735.743
ts,output/more/large/stream130.ts,1735.774
ts,output/more/large/stream131.ts,1735.774
ts,output/more/large/stream142.ts,1735.932
ts,output/more/large/stream143.ts,1735.936
ts,output/more/large/stream144.ts,1735.971
ts,output/more/large/stream145.ts,1735.987
ts,output/more/large/stream152.ts,1736.022
ts,output/more/large/stream162.ts,1736.137
ts,output/more/large/stream163.ts,1736.141
ts,output/more/large/stream164.ts,1736.155
ts,output/more/large/stream166.ts,1736.19
ts,output/more/large/stream169.ts,1736.195
ts,output/more/large/stream173.ts,1736.227
ts,output/more/large/stream185.ts,1736.592
ts,output/more/large/stream186.ts,1739.274
ts,output/more/large/stream187.ts,1739.806
ts,output/more/large/stream188.ts,1740.089
ts,output/more/large/stream189.ts,1740.462
ts,output/more/large/stream190.ts,1740.777
ts,output/more/large/stream191.ts,1741.188
ts,output/more/large/stream192.ts,1741.437
ts,output/more/large/stream193.ts,1749.673
ts,output/more/large/stream194.ts,1751.811
ts,output/more/large/stream195.ts,1752.842
ts,output/more/large/stream196.ts,1763.798
ts,output/more/large/stream210.ts,1763.951
ts,output/more/large/stream212.ts,1763.992
ts,output/more/large/stream213.ts,1764.01
ts,output/more/large/stream215.ts,1764.014
ts,output/more/large/stream231.ts,1764.118
ts,output/more/large/stream234.ts,1764.138
ts,output/more/large/stream235.ts,1764.19
ts,output/more/large/stream236.ts,1764.191
ts,output/more/large/stream237.ts,1764.219
ts,output/more/large/stream238.ts,1764.22
ts,output/more/large/stream239.ts,1765.011
ts,output/more/large/stream240.ts,1765.91
ts,output/more/large/stream241.ts,1766.875
ts,output/more/large/stream242.ts,1768.189
ts,output/more/large/stream243.ts,1768.932
ts,output/more/large/stream244.ts,1769.267
ts,output/more/large/stream245.ts,1769.802
ts,output/more/large/stream246.ts,1772.462
ts,output/more/large/stream247.ts,1774.689
home,.,1783.018
m3u8,output/more/large/stream.m3u8,1785.507
ts,output/more/large/stream0.ts,1785.699
ts,output/more/large/stream1.ts,1786.416
ts,output/more/large/stream2.ts,1787.26
ts,output/more/large/stream3.ts,1788.724
ts,output/more/large/stream4.ts,1789.449
ts,output/more/large/stream5.ts,1790.184
ts,output/more/large/stream8.ts,1812.501
ts,output/more/large/stream112.ts,1833.422
ts,output/more/large/stream113.ts,1836.108
ts,output/more/large/stream114.ts,1836.388
ts,output/more/large/stream115.ts,1836.806
ts,output/more/large/stream116.ts,1837.434
ts,output/more/large/stream117.ts,1838.211
ts,output/more/large/stream118.ts,1839.281
ts,output/more/large/stream119.ts,1842.341
ts,output/more/large/stream143.ts,1842.982
ts,output/more/large/stream145.ts,1843.05
ts,output/more/large/stream148.ts,1843.101
ts,output/more/large/stream151.ts,1843.106
ts,output/more/large/stream155.ts,1843.11
ts,output/more/large/stream156.ts,1843.134
ts,output/more/large/stream161.ts,1843.279
ts,output/more/large/stream162.ts,1843.281
ts,output/more/large/stream166.ts,1843.32
ts,output/more/large/stream170.ts,1843.321
ts,output/more/large/stream174.ts,1843.405
ts,output/more/large/stream188.ts,1843.424
ts,output/more/large/stream190.ts,1843.432
ts,output/more/large/stream191.ts,1843.467
ts,output/more/large/stream192.ts,1844.386
ts,output/more/large/stream193.ts,1845.749
ts,output/more/large/stream194.ts,1846.026
ts,output/more/large/stream195.ts,1846.224
ts,output/more/large/stream196.ts,1847.025
ts,output/more/large/stream197.ts,1847.335
ts,output/more/large/stream198.ts,1847.624
ts,output/more/large/stream199.ts,1849.436
ts,output/more/large/stream200.ts,1853.905
ts,output/more/large/stream241.ts,1854.002
ts,output/more/large/stream242.ts,1854.048
ts,output/more/large/stream243.ts,1854.084
ts,output/more/large/stream242.ts,1854.321
ts,output/more/large/stream243.ts,1855.915
ts,output/more/large/stream244.ts,1856.463
ts,output/more/large/stream245.ts,1857.327
ts,output/more/large/stream246.ts,1857.927
ts,output/more/large/stream247.ts,1858.291
ts,output/more/large/stream248.ts,1858.976
ts,output/more/large/stream249.ts,1859.321
ts,output/more/large/stream250.ts,1860.464
ts,output/more/large/stream251.ts,1867.767
ts,output/more/large/stream252.ts,1870.864
home,.,1872.114
m3u8,output/more/large/stream.m3u8,1875.21
ts,output/more/large/stream0.ts,1875.41
ts,output/more/large/stream1.ts,1876.037
ts,output/more/large/stream2.ts,1876.452
