event,request,time
event,request,time
ts,output/more/large/stream149.ts,783.595
ts,output/more/large/stream69.ts,789.037
ts,output/more/large/stream150.ts,789.195
ts,output/more/large/stream70.ts,790.343
ts,output/more/large/stream71.ts,791.569
ts,output/more/large/stream72.ts,792.449
ts,output/more/large/stream73.ts,793.056
ts,output/more/large/stream74.ts,793.6
ts,output/more/large/stream75.ts,794.474
ts,output/more/large/stream151.ts,796.185
ts,output/more/large/stream177.ts,796.857
ts,output/more/large/stream178.ts,798.418
ts,output/more/large/stream152.ts,798.977
ts,output/more/large/stream179.ts,799.665
ts,output/more/large/stream180.ts,800.051
ts,output/more/large/stream181.ts,801.146
ts,output/more/large/stream182.ts,801.475
ts,output/more/large/stream183.ts,801.954
ts,output/more/large/stream184.ts,802.579
ts,output/more/large/stream153.ts,805.772
ts,output/more/large/stream185.ts,807.298
ts,output/more/large/stream154.ts,810.873
ts,output/more/large/stream155.ts,813.176
ts,output/more/large/stream186.ts,814.598
ts,output/more/large/stream156.ts,819.185
ts,output/more/large/stream187.ts,821.883
ts,output/more/large/stream188.ts,823.288
ts,output/more/large/stream157.ts,823.676
ts,output/more/large/stream189.ts,827.186
ts,output/more/large/stream158.ts,829.872
ts,output/more/large/stream190.ts,831.887
ts,output/more/large/stream206.ts,834.326
ts,output/more/large/stream159.ts,834.515
ts,output/more/large/stream175.ts,835.139
ts,output/more/large/stream180.ts,835.143
ts,output/more/large/stream195.ts,835.4
ts,output/more/large/stream196.ts,835.406
ts,output/more/large/stream197.ts,835.407
ts,output/more/large/stream198.ts,835.409
ts,output/more/large/stream201.ts,835.441
ts,output/more/large/stream202.ts,835.442
ts,output/more/large/stream204.ts,835.554
ts,output/more/large/stream207.ts,835.655
ts,output/more/large/stream205.ts,835.975
ts,output/more/large/stream208.ts,836.107
ts,output/more/large/stream206.ts,836.497
ts,output/more/large/stream209.ts,836.546
ts,output/more/large/stream210.ts,836.988
ts,output/more/large/stream211.ts,837.48
ts,output/more/large/stream212.ts,838.393
ts,output/more/large/stream213.ts,839.261
ts,output/more/large/stream214.ts,839.83
ts,output/more/large/stream207.ts,841.476
ts,output/more/large/stream208.ts,841.995
ts,output/more/large/stream209.ts,842.375
ts,output/more/large/stream210.ts,842.727
ts,output/more/large/stream211.ts,843.262
ts,output/more/large/stream212.ts,843.752
ts,output/more/large/stream213.ts,844.359
ts,output/more/large/stream214.ts,844.875
ts,output/more/large/stream215.ts,848.189
ts,output/more/large/stream216.ts,850.288
ts,output/more/large/stream217.ts,852.194
ts,output/more/large/stream215.ts,852.636
ts,output/more/large/stream216.ts,854.58
ts,output/more/large/stream217.ts,856.588
ts,output/more/large/stream218.ts,858.992
ts,output/more/large/stream219.ts,862.492
